U+0021	!
覦-Kaisho	U+89a6	覦
U+89a6	覦
覧-KaishoHzFst	U+89a7	覧
覧-Kaisho	U+89a7	覧
U+89a7	覧
覩-Kaisho	U+89a9	覩
U+89a9	覩
親-Kaisho	U+89aa	親
U+89aa	親
覬-Kaisho	U+89ac	覬
U+89ac	覬
覯-Kaisho	U+89af	覯
U+89af	覯
覲-Kaisho	U+89b2	覲
U+89b2	覲
観-Kaisho	U+89b3	観
U+89b3	観
覺-Kaisho	U+89ba	覺
U+89ba	覺
覽-KaishoHzFst	U+89bd	覽
覽-Kaisho	U+89bd	覽
U+89bd	覽
覿-Kaisho	U+89bf	覿
U+89bf	覿
觀-Kaisho	U+89c0	觀
U+89c0	觀
角-Kaisho	U+89d2	角
U+89d2	角
觚-Kaisho	U+89da	觚
U+89da	觚
U+89dc	觜
觝-Kaisho	U+89dd	觝
U+89dd	觝
解-Kaisho	U+89e3	解
U+89e3	解
触-Kaisho	U+89e6	触
U+89e6	触
觧-Kaisho	U+89e7	觧
U+89e7	觧
觴-Kaisho	U+89f4	觴
U+89f4	觴
觸-Kaisho	U+89f8	觸
U+89f8	觸
U+8a00	言
U+8a02	訂
U+8a03	訃
U+8a08	計
訊-Hyougai	U+8a0a	訊
U+8a0a	訊
U+8a0c	訌
U+8a0e	討
U+8a10	訐
U+8a13	訓
U+8a16	訖
U+8a17	託
U+8a18	記
U+8a1b	訛
訝-Hyougai	U+8a1d	訝
U+8a1d	訝
U+8a1f	訟
U+8a23	訣
U+8a25	訥
訪-Kaisho	U+8a2a	訪
U+8a2a	訪
U+8a2d	設
U+8a31	許
U+8a33	訳
U+8a34	訴
U+8a36	訶
U+8a3a	診
註-Hyougai	U+8a3b	註
註-HyougaiVtLst	U+8a3b	註
U+8a3b	註
証-HzFst	U+8a3c	証
U+8a3c	証
U+8a41	詁
U+8a46	詆
U+8a48	詈
U+8a50	詐
詑-Kaisho	U+8a51	詑
U+8a51	詑
U+8a52	詒
U+8a54	詔
U+8a55	評
詛-Kaisho	U+8a5b	詛
U+8a5b	詛
U+8a5e	詞
U+8a60	詠
詢-Kaisho	U+8a62	詢
U+8a62	詢
詣-Kaisho	U+8a63	詣
U+8a63	詣
U+8a66	試
U+8a69	詩
詫-Kaisho	U+8a6b	詫
U+8a6b	詫
U+8a6c	詬
U+8a6d	詭
詮-Hyougai	U+8a6e	詮
詮-HyougaiVtLst	U+8a6e	詮
U+8a6e	詮
U+8a70	詰
U+8a71	話
該-Kaisho	U+8a72	該
U+8a72	該
U+8a73	詳
U+8a7c	詼
誂-MidFst	U+8a82	誂
U+8a82	誂
誄-Kaisho	U+8a84	誄
U+8a84	誄
誅-Kaisho	U+8a85	誅
U+8a85	誅
U+8a87	誇
U+8a89	誉
U+8a8c	誌
U+8a8d	認
U+8a91	誑
誑-VtLst	U+8a91	誑
U+8a93	誓
誕-HzFst	U+8a95	誕
U+8a95	誕
誘-Kaisho	U+8a98	誘
U+8a98	誘
誚-Kaisho	U+8a9a	誚
U+8a9a	誚
U+8a9e	語
U+8aa0	誠
U+8aa1	誡
U+8aa3	誣
U+8aa4	誤
U+8aa5	誥
誦-Kaisho	U+8aa6	誦
U+8aa6	誦
U+8aa8	誨
U+8aac	説
U+8aad	読
U+8ab0	誰
課-Kaisho	U+8ab2	課
U+8ab2	課
誹-HyougaiMdFst	U+8ab9	誹
誹-Hyougai	U+8ab9	誹
誹-Jinmei	U+8ab9	誹
U+8ab9	誹
誼-Kaisho	U+8abc	誼
U+8abc	誼
U+8abf	調
諂-HzFst	U+8ac2	諂
U+8ac2	諂
諄-Kaisho	U+8ac4	諄
U+8ac4	諄
U+8ac7	談
請-Kaisho	U+8acb	請
請-KaishoVtLst	U+8acb	請
U+8acb	請
諌-Kaisho	U+8acc	諌
U+8acc	諌
U+8acd	諍
諏-Kaisho	U+8acf	諏
諏-KaishoVt3	U+8acf	諏
U+8acf	諏
諒-Kaisho	U+8ad2	諒
U+8ad2	諒
論-Kaisho	U+8ad6	論
U+8ad6	論
諚-Kaisho	U+8ada	諚
U+8ada	諚
U+8adb	諛
諜-Kaisho	U+8adc	諜
U+8adc	諜
諞-Kaisho	U+8ade	諞
U+8ade	諞
諠-Kaisho	U+8ae0	諠
U+8ae0	諠
U+8ae1	諡
諢-Kaisho	U+8ae2	諢
U+8ae2	諢
U+8ae4	諤
諦-Kaisho	U+8ae6	諦
U+8ae6	諦
諧-Kaisho	U+8ae7	諧
U+8ae7	諧
諫-Kaisho	U+8aeb	諫
U+8aeb	諫
諭-Kaisho	U+8aed	諭
U+8aed	諭
U+8aee	諮
U+8af1	諱
諳-Kaisho	U+8af3	諳
U+8af3	諳
U+8af7	諷
諸-Kaisho	U+8af8	諸
U+8af8	諸
諺-HyougaiKaisho	U+8afa	諺
諺-Hyougai	U+8afa	諺
諺-Kaisho	U+8afa	諺
U+8afa	諺
U+8afe	諾
謀-Kaisho	U+8b00	謀
U+8b00	謀
謁-Kaisho	U+8b01	謁
U+8b01	謁
謂-Kaisho	U+8b02	謂
U+8b02	謂
謄-Kaisho	U+8b04	謄
U+8b04	謄
謇-Kaisho	U+8b07	謇
U+8b07	謇
U+8b0c	謌
謎-HyougaiKaisho	U+8b0e	謎
謎-Hyougai	U+8b0e	謎
謎-Kaisho	U+8b0e	謎
U+8b0e	謎
U+8b10	謐
謐-Ten3	U+8b10	謐
謔-HzFstLeRi	U+8b14	謔
謔-HzFstRiLe	U+8b14	謔
U+8b14	謔
謔-VtFstRiLe	U+8b14	謔
謖-Kaisho	U+8b16	謖
U+8b16	謖
謗-Kaisho	U+8b17	謗
U+8b17	謗
U+8b19	謙
U+8b1a	謚
講-Kaisho	U+8b1b	講
U+8b1b	講
謝-Kaisho	U+8b1d	謝
U+8b1d	謝
U+8b20	謠
U+8b21	謡
U+8b26	謦
謨-Kaisho	U+8b28	謨
U+8b28	謨
謫-Kaisho	U+8b2b	謫
U+8b2b	謫
謬-Hyougai	U+8b2c	謬
U+8b2c	謬
U+8b33	謳
U+8b39	謹
謹-VtLst	U+8b39	謹
謾-Kaisho	U+8b3e	謾
U+8b3e	謾
U+8b41	譁
證-Dg3	U+8b49	證
證-DgLst	U+8b49	證
U+8b49	證
U+8b4c	譌
U+8b4e	譎
U+8b4f	譏
譖-Kaisho	U+8b56	譖
U+8b56	譖
識-Kaisho	U+8b58	識
U+8b58	識
譚-Kaisho	U+8b5a	譚
U+8b5a	譚
譛-Kaisho	U+8b5b	譛
U+8b5b	譛
譜-Kaisho	U+8b5c	譜
U+8b5c	譜
譟-Kaisho	U+8b5f	譟
U+8b5f	譟
U+8b66	警
U+8b6b	譫
譬-Kaisho	U+8b6c	譬
U+8b6c	譬
U+8b6f	譯
U+8b70	議
U+8b71	譱
譲-Kaisho	U+8b72	譲
譲-KaishoVtLst	U+8b72	譲
U+8b72	譲
U+8b74	譴
U+8b77	護
譽-LeFst	U+8b7d	譽
U+8b7d	譽
讀-Kaisho	U+8b80	讀
U+8b80	讀
讃-Kaisho	U+8b83	讃
U+8b83	讃
U+8b8a	變
U+8b8c	讌
U+8b8e	讎
U+8b90	讐
讒-Kaisho	U+8b92	讒
U+8b92	讒
讓-Kaisho	U+8b93	讓
讓-KaishoVtLst	U+8b93	讓
U+8b93	讓
U+8b96	讖
U+8b99	讙
讚-Kaisho	U+8b9a	讚
U+8b9a	讚
U+8c37	谷
U+8c3a	谺
U+8c3f	谿
豁-Kaisho	U+8c41	豁
U+8c41	豁
U+8c46	豆
U+8c48	豈
豊-Kaisho	U+8c4a	豊
豊-KaishoVtLst	U+8c4a	豊
U+8c4a	豊
豌-Kaisho	U+8c4c	豌
U+8c4c	豌
豎-HzFst	U+8c4e	豎
U+8c4e	豎
U+8c50	豐
U+8c55	豕
豚-Kaisho	U+8c5a	豚
U+8c5a	豚
U+8c61	象
U+8c62	豢
豪-Kaisho	U+8c6a	豪
U+8c6a	豪
U+8c6b	豫
豬-Kaisho	U+8c6c	豬
U+8c6c	豬
U+8c78	豸
豹-Hyougai	U+8c79	豹
U+8c79	豹
U+8c7a	豺
豼-Kaisho	U+8c7c	豼
U+8c7c	豼
U+8c82	貂
貅-Kaisho	U+8c85	貅
U+8c85	貅
U+8c89	貉
貊-Kaisho	U+8c8a	貊
U+8c8a	貊
貌-Kaisho	U+8c8c	貌
U+8c8c	貌
貍-Kaisho	U+8c8d	貍
貍-KaishoVtLst	U+8c8d	貍
U+8c8d	貍
貎-HzFst	U+8c8e	貎
U+8c8e	貎
貔-Kaisho	U+8c94	貔
U+8c94	貔
貘-Kaisho	U+8c98	貘
U+8c98	貘
貝-Kaisho	U+8c9d	貝
U+8c9d	貝
貞-KaishoHzFst	U+8c9e	貞
貞-Kaisho	U+8c9e	貞
U+8c9e	貞
負-Kaisho	U+8ca0	負
U+8ca0	負
財-Kaisho	U+8ca1	財
U+8ca1	財
貢-Kaisho	U+8ca2	貢
U+8ca2	貢
貧-Kaisho	U+8ca7	貧
U+8ca7	貧
U+8ca8	貨
販-Kaisho	U+8ca9	販
U+8ca9	販
貪-Kaisho	U+8caa	貪
U+8caa	貪
貫-Kaisho	U+8cab	貫
U+8cab	貫
責-Kaisho	U+8cac	責
責-KaishoVtLst	U+8cac	責
U+8cac	責
貭-Kaisho	U+8cad	貭
U+8cad	貭
貮-Kaisho	U+8cae	貮
U+8cae	貮
貯-Kaisho	U+8caf	貯
U+8caf	貯
貰-Kaisho	U+8cb0	貰
U+8cb0	貰
U+8cb2	貲
貳-Kaisho	U+8cb3	貳
U+8cb3	貳
貴-Kaisho	U+8cb4	貴
U+8cb4	貴
貶-Kaisho	U+8cb6	貶
U+8cb6	貶
U+8cb7	買
貸-Kaisho	U+8cb8	貸
U+8cb8	貸
費-Kaisho	U+8cbb	費
U+8cbb	費
貼-KaishoHzFst	U+8cbc	貼
貼-Kaisho	U+8cbc	貼
U+8cbc	貼
貽-Kaisho	U+8cbd	貽
U+8cbd	貽
貿-Kaisho	U+8cbf	貿
U+8cbf	貿
賀-Kaisho	U+8cc0	賀
U+8cc0	賀
賁-Kaisho	U+8cc1	賁
U+8cc1	賁
賂-Kaisho	U+8cc2	賂
U+8cc2	賂
賃-Kaisho	U+8cc3	賃
U+8cc3	賃
賄-Kaisho	U+8cc4	賄
U+8cc4	賄
資-Kaisho	U+8cc7	資
U+8cc7	資
賈-Kaisho	U+8cc8	賈
U+8cc8	賈
賊-Kaisho	U+8cca	賊
U+8cca	賊
賍-Kaisho	U+8ccd	賍
U+8ccd	賍
賎-Kaisho	U+8cce	賎
U+8cce	賎
賑-Kaisho	U+8cd1	賑
U+8cd1	賑
賓-Kaisho	U+8cd3	賓
U+8cd3	賓
賚-Kaisho	U+8cda	賚
U+8cda	賚
賛-Kaisho	U+8cdb	賛
U+8cdb	賛
賜-Kaisho	U+8cdc	賜
U+8cdc	賜
賞-Kaisho	U+8cde	賞
U+8cde	賞
賠-Kaisho	U+8ce0	賠
U+8ce0	賠
賢-KaishoHzFst	U+8ce2	賢
賢-Kaisho	U+8ce2	賢
U+8ce2	賢
賣-Kaisho	U+8ce3	賣
U+8ce3	賣
賤-Kaisho	U+8ce4	賤
U+8ce4	賤
賦-KaishoHzFst	U+8ce6	賦
賦-Kaisho	U+8ce6	賦
U+8ce6	賦
質-Kaisho	U+8cea	質
U+8cea	質
賭-HyougaiKaisho	U+8ced	賭
賭-Hyougai	U+8ced	賭
賭-Kaisho	U+8ced	賭
U+8ced	賭
賺-Kaisho	U+8cfa	賺
U+8cfa	賺
賻-Kaisho	U+8cfb	賻
U+8cfb	賻
購-Kaisho	U+8cfc	購
U+8cfc	購
賽-Kaisho	U+8cfd	賽
U+8cfd	賽
贄-Kaisho	U+8d04	贄
U+8d04	贄
贅-Kaisho	U+8d05	贅
U+8d05	贅
贇-KaishoHzFst	U+8d07	贇
贇-Kaisho	U+8d07	贇
U+8d07	贇
贈-Kaisho	U+8d08	贈
U+8d08	贈
贊-Kaisho	U+8d0a	贊
U+8d0a	贊
贋-Kaisho	U+8d0b	贋
U+8d0b	贋
贍-Kaisho	U+8d0d	贍
U+8d0d	贍
贏-Kaisho	U+8d0f	贏
贏-LeFst	U+8d0f	贏
U+8d0f	贏
贐-Kaisho	U+8d10	贐
贐-KaishoVtLst	U+8d10	贐
U+8d10	贐
贓-KaishoHzFst	U+8d13	贓
贓-KaishoHzFstTenFst	U+8d13	贓
贓-Kaisho	U+8d13	贓
U+8d13	贓
贔-Kaisho	U+8d14	贔
U+8d14	贔
贖-Kaisho	U+8d16	贖
U+8d16	贖
U+8d64	赤
U+8d66	赦
U+8d67	赧
U+8d6b	赫
赭-Kaisho	U+8d6d	赭
U+8d6d	赭
U+8d70	走
U+8d71	赱
U+8d73	赳
U+8d74	赴
起-Kaisho	U+8d77	起
U+8d77	起
U+8d81	趁
U+8d85	超
U+8d8a	越
趙-Kaisho	U+8d99	趙
U+8d99	趙
趣-Kaisho	U+8da3	趣
趣-KaishoVt3	U+8da3	趣
U+8da3	趣
U+8da8	趨
U+8db3	足
U+8dba	趺
趾-HzFst	U+8dbe	趾
U+8dbe	趾
U+8dc2	跂
U+8dcb	跋
U+8dcc	跌
U+8dcf	跏
U+8dd6	跖
U+8dda	跚
U+8ddb	跛
距-HzFst	U+8ddd	距
U+8ddd	距
跟-Kaisho	U+8ddf	跟
U+8ddf	跟
跡-Kaisho	U+8de1	跡
U+8de1	跡
U+8de3	跣
U+8de8	跨
U+8dea	跪
U+8deb	跫
U+8def	路
跳-MidFst	U+8df3	跳
U+8df3	跳
U+8df5	践
U+8dfc	跼
U+8dff	跿
踈-Kaisho	U+8e08	踈
U+8e08	踈
踉-Kaisho	U+8e09	踉
U+8e09	踉
踊-Kaisho	U+8e0a	踊
U+8e0a	踊
踏-Kaisho	U+8e0f	踏
U+8e0f	踏
U+8e10	踐
踝-Kaisho	U+8e1d	踝
U+8e1d	踝
U+8e1e	踞
U+8e1f	踟
踪-Kaisho	U+8e2a	踪
U+8e2a	踪
U+8e30	踰
踴-Kaisho	U+8e34	踴
U+8e34	踴
踵-Kaisho	U+8e35	踵
踵-KaishoVtLst	U+8e35	踵
U+8e35	踵
蹂-Kaisho	U+8e42	蹂
U+8e42	蹂
蹄-Kaisho	U+8e44	蹄
U+8e44	蹄
蹇-Kaisho	U+8e47	蹇
U+8e47	蹇
蹈-HzFst	U+8e48	蹈
U+8e48	蹈
U+8e49	蹉
蹉-VtLst	U+8e49	蹉
U+8e4a	蹊
U+8e4c	蹌
蹐-Kaisho	U+8e50	蹐
U+8e50	蹐
蹕-Kaisho	U+8e55	蹕
U+8e55	蹕
蹙-HzFst	U+8e59	蹙
蹙-HzFstTenFst	U+8e59	蹙
U+8e59	蹙
蹟-Kaisho	U+8e5f	蹟
蹟-KaishoVtLst	U+8e5f	蹟
U+8e5f	蹟
蹠-Kaisho	U+8e60	蹠
U+8e60	蹠
U+8e63	蹣
U+8e64	蹤
蹲-Kaisho	U+8e72	蹲
U+8e72	蹲
蹴-Kaisho	U+8e74	蹴
U+8e74	蹴
U+8e76	蹶
U+8e7c	蹼
躁-Kaisho	U+8e81	躁
U+8e81	躁
躄-Kaisho	U+8e84	躄
U+8e84	躄
U+8e85	躅
躇-Kaisho	U+8e87	躇
U+8e87	躇
U+8e8a	躊
躋-Kaisho	U+8e8b	躋
U+8e8b	躋
U+8e8d	躍
躑-Kaisho	U+8e91	躑
U+8e91	躑
躓-Kaisho	U+8e93	躓
U+8e93	躓
躔-Kaisho	U+8e94	躔
躔-KaishoVtLst	U+8e94	躔
U+8e94	躔
躙-Kaisho	U+8e99	躙
U+8e99	躙
躡-Kaisho	U+8ea1	躡
躡-KaishoVt3	U+8ea1	躡
U+8ea1	躡
躪-Kaisho	U+8eaa	躪
U+8eaa	躪
身-Kaisho	U+8eab	身
U+8eab	身
躬-Kaisho	U+8eac	躬
U+8eac	躬
躯-Kaisho	U+8eaf	躯
U+8eaf	躯
躰-Kaisho	U+8eb0	躰
U+8eb0	躰
躱-Kaisho	U+8eb1	躱
U+8eb1	躱
躾-Kaisho	U+8ebe	躾
躾-KaishoVtLst	U+8ebe	躾
U+8ebe	躾
軅-Kaisho	U+8ec5	軅
U+8ec5	軅
軆-Kaisho	U+8ec6	軆
軆-KaishoVtLst	U+8ec6	軆
U+8ec6	軆
軈-Kaisho	U+8ec8	軈
U+8ec8	軈
車-Kaisho	U+8eca	車
U+8eca	車
軋-Kaisho	U+8ecb	軋
U+8ecb	軋
軌-Kaisho	U+8ecc	軌
U+8ecc	軌
軍-Kaisho	U+8ecd	軍
U+8ecd	軍
軒-Kaisho	U+8ed2	軒
U+8ed2	軒
軛-Kaisho	U+8edb	軛
U+8edb	軛
軟-Kaisho	U+8edf	軟
U+8edf	軟
転-Kaisho	U+8ee2	転
U+8ee2	転
軣-Kaisho	U+8ee3	軣
U+8ee3	軣
軫-Kaisho	U+8eeb	軫
U+8eeb	軫
軸-Kaisho	U+8ef8	軸
軸-KaishoVtLst	U+8ef8	軸
U+8ef8	軸
軻-Kaisho	U+8efb	軻
U+8efb	軻
軼-Kaisho	U+8efc	軼
U+8efc	軼
軽-Kaisho	U+8efd	軽
U+8efd	軽
軾-Kaisho	U+8efe	軾
U+8efe	軾
較-Kaisho	U+8f03	較
U+8f03	較
輅-Kaisho	U+8f05	輅
U+8f05	輅
載-Kaisho	U+8f09	載
U+8f09	載
輊-Kaisho	U+8f0a	輊
輊-KaishoVtFst	U+8f0a	輊
U+8f0a	輊
輌-Kaisho	U+8f0c	輌
U+8f0c	輌
輒-Kaisho	U+8f12	輒
輒-KaishoVt3	U+8f12	輒
U+8f12	輒
輓-Kaisho	U+8f13	輓
U+8f13	輓
輔-Kaisho	U+8f14	輔
U+8f14	輔
輕-Kaisho	U+8f15	輕
U+8f15	輕
輙-Kaisho	U+8f19	輙
輙-KaishoVt3	U+8f19	輙
U+8f19	輙
輛-Kaisho	U+8f1b	輛
U+8f1b	輛
輜-Kaisho	U+8f1c	輜
U+8f1c	輜
輝-Kaisho	U+8f1d	輝
U+8f1d	輝
輟-Kaisho	U+8f1f	輟
U+8f1f	輟
輦-Kaisho	U+8f26	輦
U+8f26	輦
輩-KaishoMdFst	U+8f29	輩
輩-Kaisho	U+8f29	輩
U+8f29	輩
輪-Kaisho	U+8f2a	輪
U+8f2a	輪
輯-Kaisho	U+8f2f	輯
輯-KaishoVt3	U+8f2f	輯
U+8f2f	輯
輳-Kaisho	U+8f33	輳
U+8f33	輳
輸-Kaisho	U+8f38	輸
U+8f38	輸
輹-Kaisho	U+8f39	輹
U+8f39	輹
輻-Kaisho	U+8f3b	輻
U+8f3b	輻
輾-Kaisho	U+8f3e	輾
U+8f3e	輾
輿-Kaisho	U+8f3f	輿
U+8f3f	輿
轂-Kaisho	U+8f42	轂
U+8f42	轂
轄-Kaisho	U+8f44	轄
轄-KaishoVtLst	U+8f44	轄
U+8f44	轄
轅-Kaisho	U+8f45	轅
U+8f45	轅
轆-Kaisho	U+8f46	轆
U+8f46	轆
轉-Kaisho	U+8f49	轉
U+8f49	轉
轌-Kaisho	U+8f4c	轌
U+8f4c	轌
轍-Kaisho	U+8f4d	轍
U+8f4d	轍
轎-Kaisho	U+8f4e	轎
U+8f4e	轎
轗-Kaisho	U+8f57	轗
U+8f57	轗
轜-Kaisho	U+8f5c	轜
U+8f5c	轜
轟-Kaisho	U+8f5f	轟
U+8f5f	轟
U+8f61	轡
轢-Kaisho	U+8f62	轢
U+8f62	轢
轣-KaishoHzFst	U+8f63	轣
轣-Kaisho	U+8f63	轣
U+8f63	轣
轤-KaishoHzFstLeRi	U+8f64	轤
轤-KaishoHzFstRiLe	U+8f64	轤
轤-Kaisho	U+8f64	轤
轤-KaishoVtFstRiLe	U+8f64	轤
U+8f64	轤
辛-Kaisho	U+8f9b	辛
U+8f9b	辛
辜-Kaisho	U+8f9c	辜
U+8f9c	辜
辞-Kaisho	U+8f9e	辞
U+8f9e	辞
辟-Kaisho	U+8f9f	辟
U+8f9f	辟
辣-Kaisho	U+8fa3	辣
U+8fa3	辣
辧-Kaisho	U+8fa7	辧
U+8fa7	辧
辨-Kaisho	U+8fa8	辨
U+8fa8	辨
辭-Kaisho	U+8fad	辭
U+8fad	辭
辮-Kaisho	U+8fae	辮
U+8fae	辮
辯-Kaisho	U+8faf	辯
U+8faf	辯
U+8fb0	辰
U+8fb1	辱
農-Kaisho	U+8fb2	農
農-KaishoVtLst	U+8fb2	農
U+8fb2	農
U+8fb6	辶
U+8fb7	辷
U+8fba	辺
辻-Hyougai	U+8fbb	辻
U+8fbb	辻
U+8fbc	込
辿-Hyougai	U+8fbf	辿
U+8fbf	辿
迂-Hyougai	U+8fc2	迂
U+8fc2	迂
迄-Hyougai	U+8fc4	迄
U+8fc4	迄
U+8fc5	迅
U+8fce	迎
U+8fd1	近
U+8fd4	返
U+8fda	迚
U+8fe2	迢
U+8fe5	迥
迦-Hyougai	U+8fe6	迦
U+8fe6	迦
U+8fe9	迩
迪-Kaisho	U+8fea	迪
迪-KaishoVtLst	U+8fea	迪
U+8fea	迪
迫-Kaisho	U+8feb	迫
U+8feb	迫
U+8fed	迭
U+8fef	迯
述-Kaisho	U+8ff0	述
U+8ff0	述
U+8ff4	迴
迷-Kaisho	U+8ff7	迷
U+8ff7	迷
U+8ff8	迸
迹-Kaisho	U+8ff9	迹
U+8ff9	迹
U+8ffa	迺
U+8ffd	追
退-Kaisho	U+9000	退
U+9000	退
U+9001	送
逃-MidFst	U+9003	逃
U+9003	逃
U+9005	逅
U+9006	逆
逋-Kaisho	U+900b	逋
U+900b	逋
逍-Kaisho	U+900d	逍
U+900d	逍
逎-Kaisho	U+900e	逎
U+900e	逎
透-Kaisho	U+900f	透
U+900f	透
U+9010	逐
U+9011	逑
U+9013	逓
U+9014	途
U+9015	逕
U+9016	逖
逗-Hyougai	U+9017	逗
U+9017	逗
這-Hyougai	U+9019	這
U+9019	這
通-Kaisho	U+901a	通
U+901a	通
U+901d	逝
U+901e	逞
逞-VtLst	U+901e	逞
速-Kaisho	U+901f	速
U+901f	速
U+9020	造
U+9021	逡
逢-Hyougai	U+9022	逢
U+9022	逢
連-Kaisho	U+9023	連
U+9023	連
U+9027	逧
U+902e	逮
U+9031	週
U+9032	進
U+9035	逵
U+9036	逶
U+9038	逸
U+9039	逹
逼-HyougaiKaisho	U+903c	逼
逼-Hyougai	U+903c	逼
U+903c	逼
U+903e	逾
遁-HyougaiKaisho	U+9041	遁
遁-Hyougai	U+9041	遁
遁-Kaisho	U+9041	遁
U+9041	遁
U+9042	遂
U+9045	遅
遇-Kaisho	U+9047	遇
U+9047	遇
遉-KaishoHzFst	U+9049	遉
遉-Kaisho	U+9049	遉
U+9049	遉
遊-Kaisho	U+904a	遊
U+904a	遊
運-Kaisho	U+904b	運
U+904b	運
遍-Kaisho	U+904d	遍
U+904d	遍
過-HzFst	U+904e	過
U+904e	過
遏-Kaisho	U+904f	遏
U+904f	遏
U+9050	遐
遑-Kaisho	U+9051	遑
遑-KaishoVtLst	U+9051	遑
U+9051	遑
遒-Kaisho	U+9052	遒
U+9052	遒
道-Kaisho	U+9053	道
U+9053	道
U+9054	達
U+9055	違
U+9056	遖
遘-Kaisho	U+9058	遘
U+9058	遘
U+9059	遙
遜-Hyougai	U+905c	遜
U+905c	遜
遞-HzFstLeRi	U+905e	遞
遞-HzFstRiLe	U+905e	遞
U+905e	遞
遞-VtFstRiLe	U+905e	遞
U+9060	遠
遡-HyougaiKaisho	U+9061	遡
遡-Hyougai	U+9061	遡
遡-Kaisho	U+9061	遡
U+9061	遡
U+9063	遣
U+9065	遥
遨-Kaisho	U+9068	遨
U+9068	遨
適-Kaisho	U+9069	適
U+9069	適
遭-Kaisho	U+906d	遭
遭-KaishoVtLst	U+906d	遭
U+906d	遭
遮-Kaisho	U+906e	遮
U+906e	遮
遯-Kaisho	U+906f	遯
U+906f	遯
U+9072	遲
遵-Kaisho	U+9075	遵
U+9075	遵
U+9076	遶
U+9077	遷
U+9078	選
遺-Kaisho	U+907a	遺
U+907a	遺
遼-Kaisho	U+907c	遼
U+907c	遼
遽-HzFstLeRi	U+907d	遽
遽-HzFstRiLe	U+907d	遽
U+907d	遽
遽-VtFstRiLe	U+907d	遽
避-Kaisho	U+907f	避
U+907f	避
邀-Kaisho	U+9080	邀
U+9080	邀
邁-Kaisho	U+9081	邁
U+9081	邁
邂-Kaisho	U+9082	邂
U+9082	邂
邃-Kaisho	U+9083	邃
U+9083	邃
U+9084	還
U+9087	邇
邉-Kaisho	U+9089	邉
U+9089	邉
邊-Kaisho	U+908a	邊
U+908a	邊
U+908f	邏
U+9091	邑
U+90a3	那
U+90a6	邦
U+90a8	邨
U+90aa	邪
邯-Kaisho	U+90af	邯
U+90af	邯
U+90b1	邱
U+90b5	邵
U+90b8	邸
郁-Kaisho	U+90c1	郁
U+90c1	郁
郊-Kaisho	U+90ca	郊
U+90ca	郊
郎-Kaisho	U+90ce	郎
U+90ce	郎
U+90db	郛
U+90e1	郡
U+90e2	郢
U+90e4	郤
部-Kaisho	U+90e8	部
U+90e8	部
郭-Kaisho	U+90ed	郭
U+90ed	郭
U+90f5	郵
郵-VtLst	U+90f5	郵
郷-Kaisho	U+90f7	郷
U+90f7	郷
都-Kaisho	U+90fd	都
U+90fd	都
U+9102	鄂
U+9112	鄒
鄙-Kaisho	U+9119	鄙
U+9119	鄙
鄭-HyougaiKaisho	U+912d	鄭
鄭-Hyougai	U+912d	鄭
U+912d	鄭
U+9130	鄰
鄲-Kaisho	U+9132	鄲
U+9132	鄲
酉-Kaisho	U+9149	酉
U+9149	酉
酊-Kaisho	U+914a	酊
U+914a	酊
酋-HyougaiKaisho	U+914b	酋
酋-Hyougai	U+914b	酋
U+914b	酋
酌-Kaisho	U+914c	酌
U+914c	酌
配-Kaisho	U+914d	配
U+914d	配
酎-Kaisho	U+914e	酎
U+914e	酎
酒-Kaisho	U+9152	酒
U+9152	酒
酔-Kaisho	U+9154	酔
U+9154	酔
酖-Kaisho	U+9156	酖
U+9156	酖
酘-Kaisho	U+9158	酘
U+9158	酘
酢-Kaisho	U+9162	酢
U+9162	酢
酣-Kaisho	U+9163	酣
U+9163	酣
酥-Kaisho	U+9165	酥
U+9165	酥
酩-Kaisho	U+9169	酩
U+9169	酩
酪-Kaisho	U+916a	酪
U+916a	酪
酬-Kaisho	U+916c	酬
U+916c	酬
酲-Kaisho	U+9172	酲
U+9172	酲
酳-Kaisho	U+9173	酳
U+9173	酳
酵-Kaisho	U+9175	酵
U+9175	酵
酷-Kaisho	U+9177	酷
U+9177	酷
酸-Kaisho	U+9178	酸
U+9178	酸
醂-Kaisho	U+9182	醂
U+9182	醂
醇-Kaisho	U+9187	醇
U+9187	醇
醉-Kaisho	U+9189	醉
U+9189	醉
醋-Kaisho	U+918b	醋
U+918b	醋
醍-Kaisho	U+918d	醍
U+918d	醍
醐-Kaisho	U+9190	醐
U+9190	醐
醒-Kaisho	U+9192	醒
醒-KaishoVtLst	U+9192	醒
U+9192	醒
醗-KaishoDg3	U+9197	醗
醗-KaishoDgLst	U+9197	醗
醗-Kaisho	U+9197	醗
U+9197	醗
醜-Kaisho	U+919c	醜
U+919c	醜
醢-Kaisho	U+91a2	醢
U+91a2	醢
醤-Jinmei	U+91a4	醤
醤-Kaisho	U+91a4	醤
U+91a4	醤
醪-Kaisho	U+91aa	醪
U+91aa	醪
醫-Kaisho	U+91ab	醫
U+91ab	醫
醯-Kaisho	U+91af	醯
U+91af	醯
醴-Kaisho	U+91b4	醴
醴-KaishoVtLst	U+91b4	醴
U+91b4	醴
醵-KaishoHzFstLeRi	U+91b5	醵
醵-KaishoHzFstRiLe	U+91b5	醵
醵-Kaisho	U+91b5	醵
